Plate,Well,BirdID,Sex,PairID,Treatment,NormCopyNumber,Target
1,H11,B362,M,H2,40_deg,1.785210757,APTX
1,H12,B362,M,H2,40_deg,1.459884003,APTX
2,A04,B361,F,H2,40_deg,3.277413171,APTX
2,A05,B361,F,H2,40_deg,3.109722425,APTX
2,A06,B361,F,H2,40_deg,3.484722765,APTX
2,B04,B175,M,L16,30_deg,1.936630271,APTX
2,B05,B175,M,L16,30_deg,2.103193007,APTX
2,B06,B175,M,L16,30_deg,1.949931744,APTX
2,C04,B363,M,H4,40_deg,2.863886808,APTX
2,C05,B363,M,H4,40_deg,2.759092452,APTX
2,C06,B363,M,H4,40_deg,2.652193558,APTX
2,D04,B370,F,L8,30_deg,0.446166838,APTX
2,D05,B370,F,L8,30_deg,0.547439027,APTX
2,D06,B370,F,L8,30_deg,0.523651644,APTX
2,E04,B402,M,H14,40_deg,2.122734559,APTX
2,E05,B402,M,H14,40_deg,2.098021488,APTX
2,E06,B402,M,H14,40_deg,2.131990126,APTX
2,F04,B287,F,L10,30_deg,1.150087375,APTX
2,F05,B287,F,L10,30_deg,1.162189328,APTX
2,F06,B287,F,L10,30_deg,1.141790561,APTX
2,G04,B169,M,H10,40_deg,4.411241103,APTX
2,G05,B169,M,H10,40_deg,3.723745022,APTX
2,G06,B169,M,H10,40_deg,3.658962226,APTX
