Plate,Well,Fluor,Target,Content,Sample,BirdID,Sex,DateOfSampling,Cq,Cq Mean,Cq_Diff,Cq Std. Dev,CqMin,CqMax,SQ Std. Dev,Starting Quantity (SQ),Dilution Factor,Copy_Number
1,G10,HEX,EEF2,Unkn-23,Cool,23680,M,1/3/2018,33.71156174,33.95269115,0.241129405,0.308504316,33.64418683,34.26119546,7.981859365,45.92562415,5,229.6281207
1,G11,HEX,EEF2,Unkn-23,Cool,23680,M,1/3/2018,33.84617135,33.95269115,0.106519797,0.308504316,33.64418683,34.26119546,7.981859365,41.82774235,5,209.1387117
1,G12,HEX,EEF2,Unkn-23,Cool,23680,M,1/3/2018,34.30034035,33.95269115,0.347649203,0.308504316,33.64418683,34.26119546,7.981859365,30.5149558,5,152.574779
1,H05,HEX,EEF2,Unkn-08,Cool,24512,M,1/16/2018,30.82730514,31.11067808,0.283372939,0.663923759,30.44675432,31.77460184,176.5827076,340.238693,5,1701.193465
1,H06,HEX,EEF2,Unkn-08,Cool,24512,M,1/16/2018,31.39405102,31.11067808,0.283372939,0.663923759,30.44675432,31.77460184,176.5827076,229.5541794,5,1147.770897
1,H08,HEX,EEF2,Unkn-16,Hot,23886,F,1/8/2018,32.40069419,32.5604379,0.159743712,0.655979805,31.90445809,33.2164177,68.35660615,114.1139054,5,570.5695268
1,H09,HEX,EEF2,Unkn-16,Hot,23886,F,1/8/2018,32.72018161,32.5604379,0.159743712,0.655979805,31.90445809,33.2164177,68.35660615,91.41116304,5,457.0558152
1,H10,HEX,EEF2,Unkn-24,Hot,28805,M,1/8/2018,29.61198534,29.90299087,0.291005524,0.415088415,29.48790245,30.31807928,174.4680339,791.1437527,5,3955.718764
1,H11,HEX,EEF2,Unkn-24,Hot,28805,M,1/8/2018,29.71866757,29.90299087,0.1843233,0.415088415,29.48790245,30.31807928,174.4680339,734.6594664,5,3673.297332
1,H12,HEX,EEF2,Unkn-24,Hot,28805,M,1/8/2018,30.37831969,29.90299087,0.475328823,0.415088415,29.48790245,30.31807928,174.4680339,464.6996166,5,2323.498083
